no,group,name,tip_label,hpv_genome,genus,group_number,hpv_name,group_genome,color,shape,size
29,rag,Met2824_rag_skin_NODE_654_length_7217_cov_10767.006004_1,Met2824_rag_skin_NODE_654_length_7217_cov_10767.006004_1,0,rag,148,0,0,red,21,1.4
30,pave,HPV148,HPV148-L1|lcl|Human,148,gamma,12,gammapapillomavirus_12,gamma_HPV148,gamma,21,1
31,pave,HPV157,HPV157-L1|lcl|Human,157,gamma,NA,gammapapillomavirus_NA,gamma_HPV157,gamma,21,1
32,rag,Met2825_rag_skin_NODE_470_length_7227_cov_26.935025_1,Met2825_rag_skin_NODE_470_length_7227_cov_26.935025_1,0,rag,148,0,0,red,23,1.4
33,rag,Met2861_rag_skin_NODE_102_length_7227_cov_10.326966_3,Met2861_rag_skin_NODE_102_length_7227_cov_10.326966_3,0,rag,157,0,0,red,23,1.4
34,pave,HPV132,HPV132-L1|lcl|Human,132,gamma,12,gammapapillomavirus_12,gamma_HPV132,gamma,21,1
35,pave,HPV210,HPV210-L1|lcl|Human,210,gamma,NA,gammapapillomavirus_NA,gamma_HPV210,gamma,21,1
36,rag,Met2824_rag_skin_NODE_658_length_7170_cov_105.938018_6,Met2824_rag_skin_NODE_658_length_7170_cov_105.938018_6,0,rag,199,0,0,red,23,1.4
37,pave,HPV199,HPV199-L1|lcl|Human,199,gamma,12,gammapapillomavirus_12,gamma_HPV199,gamma,21,1
38,rag,Met2824_rag_skin_NODE_649_length_7236_cov_15.327949_4,Met2824_rag_skin_NODE_649_length_7236_cov_15.327949_4,0,rag,127,0,0,red,21,1.4
39,pave,HPV127,HPV127-L1|lcl|Human,127,gamma,12,gammapapillomavirus_12,gamma_HPV127,gamma,21,1
40,pave,HPV192,HPV192-L1|lcl|Human,192,gamma,15,gammapapillomavirus_15,gamma_HPV192,gamma,21,1
41,pave,HPV207,HPV207-L1|lcl|Human,207,gamma,NA,gammapapillomavirus_NA,gamma_HPV207,gamma,21,1
42,rag,Met2824_rag_skin_NODE_630_length_7312_cov_74.101144_1,Met2824_rag_skin_NODE_630_length_7312_cov_74.101144_1,0,rag,146,0,0,red,23,1.4
